description|Category|Subcategory|YAML Name|collector|Profiles|path|exclude_file_system|name_pattern|command|supported_os|max_depth|output_file|exclude_nologin_users|file_type|path_pattern|ignore_date_range|max_file_size|exclude_name_pattern|permissions|is_file_list|loop_command|output_directory|stderr_output_file|compress_output_file|exclude_path_pattern
Collect file stat information to create a bodyfile.|bodyfile||bodyfile.yaml|stat|full.yaml, ir_triage.yaml|/|['proc', 'procfs']|||['all']|6.0|bodyfile.txt|||||||||||||
Locally checks for signs of a rootkit.|chkrootkit||chkrootkit.yaml|command|full.yaml, ir_triage.yaml||||"chkrootkit -n -r ""%mount_point%"""|['freebsd', 'linux', 'macos', 'netbsd', 'openbsd', 'solaris']||chkrootkit_-n_-r.txt|||||||||||||
Locally (extended) checks for signs of a rootkit.|chkrootkit||chkrootkit.yaml|command|full.yaml, ir_triage.yaml||||"chkrootkit -n -x -r ""%mount_point%"""|['freebsd', 'linux', 'macos', 'netbsd', 'openbsd', 'solaris']||chkrootkit_-n_-r_-x.txt|||||||||||||
Collect AddressBook databases.|files|applications|addressbook.yaml|file|full.yaml|"/%user_home%/Library/""Application Support""/AddressBook"||['AddressBook*.abcddb*']||['macos']|||True||||||||||||
Collect AddressBook Metadata files.|files|applications|addressbook.yaml|file|full.yaml|"/%user_home%/Library/""Application Support""/AddressBook/Metadata"||||['macos']|||True||||||||||||
Collect AddressBook Image files.|files|applications|addressbook.yaml|file|full.yaml|"/%user_home%/Library/""Application Support""/AddressBook/Images"||||['macos']|||True||||||||||||
Collect AnyDesk configuration, session recordings, screenshot, chat and trace files.|files|applications|anydesk.yaml|file|full.yaml|/%user_home%/.anydesk||||['freebsd', 'linux', 'macos']|||True||||||||||||
Collect AnyDesk session recordings, screenshots and chat log files.|files|applications|anydesk.yaml|file|full.yaml|/%user_home%/*/AnyDesk||||['freebsd', 'linux']|||True||||||||||||
Collect AnyDesk screenshot files.|files|applications|anydesk.yaml|file|full.yaml|/%user_home%/||['anydesk*.png']||['freebsd', 'linux', 'macos']|4.0||True|f|||||||||||
Collect AnyDesk session recording files.|files|applications|anydesk.yaml|file|full.yaml|/%user_home%/||['*.anydesk']||['freebsd', 'linux', 'macos']|4.0||True|f|||||||||||
Collect AnyDesk global configuration and connection trace files.|files|applications|anydesk.yaml|file|full.yaml|/etc/anydesk||||['linux']|||||||||||||||
Collect AnyDesk trace log file.|files|applications|anydesk.yaml|file|full.yaml|/var/log/anydesk.trace||||['linux']|||||||||||||||
Collect Apple Notes database file.|files|applications|apple_notes.yaml|file|full.yaml|"/%user_home%/Library/""Group Containers""/group.com.apple.notes/NoteStore.sqlite*"||||['macos']|||True||||||||||||
Collect Apple Notes Voice Memos database file.|files|applications|apple_notes.yaml|file|full.yaml|"/%user_home%/Library/""Application Support""/com.apple.voicememos/Recordings/CloudRecordings.db*"||||['macos']|||True||||||||||||
Collect Aspera Client file lists.|files|applications|aspera_connect.yaml|file|full.yaml|/%user_home%/.aspera/connect/filelists||||['linux', 'macos']|||True||||||||||||
Collect Aspera Client logs.|files|applications|aspera_connect.yaml|file|full.yaml|/%user_home%/.aspera/connect/var/log||||['linux', 'macos']|||True||||||||||||
Collect Aspera Client sqlite database.|files|applications|aspera_connect.yaml|file|full.yaml|/%user_home%/.aspera/connect/var/asperaconnect.data||||['linux', 'macos']|||True||||||||||||
Collect Box Drive configuration and sqlite database files.|files|applications|box_drive.yaml|file|full.yaml|"/%user_home%/Library/""Application Support""/Box/Box/data"||||['macos']|||True||||||||||||
Collect Discord cache and leveldb files.|files|applications|discord.yaml|file|full.yaml|/%user_home%/.config/discord||||['linux']|||True||['*/Cache/*', '*/Local Storage/leveldb/*']||||||||||
Collect Discord cache and leveldb files (Flatpak version).|files|applications|discord.yaml|file|full.yaml|/%user_home%/.var/app/com.discordapp.Discord||||['linux']|||True||['*/Cache/*', '*/Local Storage/leveldb/*']||||||||||
Collect Discord cache and leveldb files (Snap version).|files|applications|discord.yaml|file|full.yaml|/%user_home%/snap/discord||||['linux']|||True||['*/Cache/*', '*/Local Storage/leveldb/*']||||||||||
Collect Discord cache files.|files|applications|discord.yaml|file|full.yaml|"/%user_home%/Library/""Application Support""/discord/Cache"||||['macos']|||True||||||||||||
Collect Discord leveldb files.|files|applications|discord.yaml|file|full.yaml|"/%user_home%/Library/""Application Support""/discord/""Local Storage""/leveldb"||||['macos']|||True||||||||||||
Collect Dropbox Cloud Storage metadata.|files|applications|dropbox.yaml|file|full.yaml|/%user_home%/.dropbox||||['linux', 'macos']|||True|f||True|||||||||
Collect Facebook Messenger calls, groups, user contacted and messages files.|files|applications|facebook_messenger.yaml|file|full.yaml|"/%user_home%/Library/""Application Support""/Messenger"||['*.db*']||['macos']|||True||||||||||||
Collect FileZilla XML and sqlite files.|files|applications|filezilla.yaml|file|full.yaml|/%user_home%/.config/filezilla||['*.xml*', '*.sqlite3*']||['linux', 'macos']|||True|||True|||||||||
Collect FileZilla XML and sqlite files (Flatpak version).|files|applications|filezilla.yaml|file|full.yaml|/%user_home%/.var/app/org.filezillaproject.Filezilla||['*.xml*', '*.sqlite3*']||['linux']|||True|||True|||||||||
Collect Google Earth KML files.|files|applications|google_earth.yaml|file|full.yaml|/%user_home%/.googleearth||['*.kml']||['linux']|||True||||||||||||
Collect Google Earth KML files.|files|applications|google_earth.yaml|file|full.yaml|"/%user_home%/Library/""Application Support""/""Google Earth"""||['*.kml']||['macos']|||True||||||||||||
Collect iCloud accounts information files.|files|applications|icloud.yaml|file|full.yaml|"/%user_home%/Library/""Application Support""/iCloud/Accounts"||||['macos']|||True||||||||||||
Collect iCloud local databases that contain information about files that have been imported from the local computer or synced remotely from the iCloud.|files|applications|icloud.yaml|file|full.yaml|"/%user_home%/Library/""Application Support""/CloudDocs/session/db"||['client.db*', 'server.db*']||['macos']|||True||||||||||||
Collect iMessage chat database.|files|applications|imessage.yaml|file|full.yaml|/%user_home%/Library/Messages/chat.db*||||['macos']|||True||||||||||||
Collect iMessage attachments.|files|applications|imessage.yaml|file|full.yaml|/%user_home%/Library/Messages/Attachments||||['macos']|||True||||||||||||
iTunes backup directory.|files|applications|itunes_backup.yaml|file|full.yaml|"/%user_home%/Library/""Application Support""/MobileSync/Backup"||||['macos']|||True||||||||||||
Collect LibreOffice Most Recently Used.|files|applications|libreoffice_mru.yaml|file|full.yaml|/%user_home%/.config/libreoffice||['recently-used.xbel', 'registrymodifications.xcu']||['linux']|||True|||True|||||||||
